Artifact,Field ID,Label EN,Label RU,Type,Required,Custom,Sensitive,Anonymize,Picklist
Candidate Profile,firstName,First name,Имя,text,true,false,true,true,
Candidate Profile,middleName,Middle name,Отчество,text,false,false,true,true,
Candidate Profile,lastName,Last name,Фамилия,text,true,false,true,true,
Candidate Profile,contactEmail,Email,Электронная почта,text,true,false,true,true,
Candidate Profile,cellPhone,Mobile phone,Мобильный телефон,text,false,false,true,true,
Candidate Profile,country,Country,Страна,picklist,true,false,false,false,country
Candidate Profile,city,City,Город,text,false,false,true,true,
Candidate Profile,currentCompany,Current employer,Текущий работодатель,text,false,false,true,true,
Candidate Profile,currentTitle,Current position,Текущая должность,text,false,false,true,true,
Candidate Profile,desiredLocation,Preferred work location,Желаемое место работы,text,false,true,false,false,
Candidate Profile,workSchedule,Preferred schedule,Желаемый график,picklist,false,true,false,false,workScheduleDemo
Candidate Profile,employmentType,Employment type,Тип занятости,picklist,false,true,false,false,employmentTypeDemo
Candidate Profile,salaryExpectation,Salary expectation,Ожидаемый доход,text,false,true,true,true,
Candidate Profile,candidateSource,Candidate source,Источник кандидата,picklist,false,true,false,false,candidateSourceDemo
Candidate Profile,talentPool,Talent pool,Пул талантов,picklist,false,true,false,false,talentPoolDemo
Candidate Profile,privacyConsent,Privacy consent,Согласие на обработку данных,bool,true,true,false,false,
Candidate Profile,profileStatus,Profile status,Статус профиля,picklist,true,true,false,false,profileStatusDemo
Candidate Profile,profileCreatedDate,Profile created date,Дата создания профиля,date,true,true,false,false,
Candidate Profile,profileUpdatedDate,Profile updated date,Дата обновления профиля,date,false,true,false,false,
Candidate Profile,resume,Resume,Резюме,richText,false,false,true,true,
Candidate Profile,additionalDocuments,Additional documents,Дополнительные документы,multiattachmentselection,false,true,true,true,
Candidate Profile,recruiterComment,Recruiter comment,Комментарий рекрутера,textarea,false,true,true,true,
Succession Data Model,userId,User ID,Идентификатор пользователя,standard-element,false,false,,,
Succession Data Model,firstName,First name,Имя,standard-element,true,false,,,
Succession Data Model,lastName,Last name,Фамилия,standard-element,true,false,,,
Succession Data Model,email,Email,Электронная почта,standard-element,true,false,,,
Succession Data Model,title,Position,Должность,standard-element,false,false,,,
Succession Data Model,jobCode,Job code,Код должности,standard-element,false,false,,,
Succession Data Model,department,Department,Подразделение,standard-element,false,false,,,
Succession Data Model,division,Legal entity,Юридическое лицо,standard-element,false,false,,,
Succession Data Model,location,Location,Локация,standard-element,false,false,,,
Succession Data Model,managerId,Manager,Руководитель,standard-element,false,false,,,
Succession Data Model,hrId,HR partner,HR-партнёр,standard-element,false,false,,,
Succession Data Model,hireDate,Hire date,Дата приёма,standard-element,false,false,,,
Succession Data Model,dateOfCurrentPosition,Current position start date,Дата вступления в текущую должность,standard-element,false,false,,,
Succession Data Model,jobLevel,Job level,Уровень должности,standard-element,false,false,,,
Succession Data Model,jobFamily,Job family,Семейство должностей,standard-element,false,false,,,
Succession Data Model,talentPool,Talent pool,Пул талантов,standard-element,false,false,,,
Succession Data Model,performance,Performance,Результативность,standard-element,false,false,,,
Succession Data Model,potential,Potential,Потенциал,standard-element,false,false,,,
Succession Data Model,keyPosition,Key position,Ключевая должность,standard-element,false,false,,,
Succession Data Model,defaultLocale,Default locale,Язык по умолчанию,standard-element,false,false,,,
Succession Data Model,timeZone,Time zone,Часовой пояс,standard-element,false,false,,,
